test_subject,jump_nr,landing,trial,lower_back_jump_height,lower_back_tof,shin_jump_height,shin_tof,chest_jump_height,chest_tof,thigh_jump_height,thigh_tof,video_jump_height,video_tof
12,10,Soft pit,Sub max,3.431087706403696,1.3452498899998773,3.306844159448267,1.3069999220001591,3.4616740821736034,1.3544998149998264,inf,0.0,3.043,1.317
12,11,Soft pit,Near max,3.340592214242979,1.3175001149998025,1.9286559107941244,0.761499644000196,4.518252285240961,1.642250299999887,2.2294415889474934,0.909500122000054,3.258,1.383
12,12,Soft pit,Near max,3.7139474426195696,1.4285001749999537,1.8830222324551775,0.08500027600007343,3.6816761593318086,1.419250011000031,4.086561681122271,1.53125,3.195,1.375
13,1,Competition,Sub max,3.42535049397587,1.3452501290000072,3.3648087509937232,1.3267500399999932,3.1028029115532236,1.2435004709999902,3.1310714835320335,1.2527503969999998,3.036,1.333
13,2,Competition,Sub max,3.3949739223193696,1.3359999650000134,3.2462531284331257,1.28974986099999,3.1310707504035014,1.2527501579999978,3.3648079743058066,1.3267498010000054,3.042,1.317
13,3,Competition,Near max,3.58507924535998,1.3928751950000446,3.303908064195875,1.3078749179999818,3.522369243945742,1.3743751050000128,3.425762199050408,1.345375061000027,3.144,1.392
13,4,Competition,Near max,3.8062833353724788,1.4562499529999968,3.83939627720594,1.465500115999987,3.643878159051975,1.410000086000025,3.548960994141857,1.3822503090000282,3.553,1.458
13,5,Semi in Soft pit,Sub max,3.275576372098416,1.2990000250000548,3.128004720114671,1.2517502299999705,2.9863016345171154,1.2046248909999804,3.1595508924465534,1.2620003220000626,2.915,1.283
13,6,Semi in Soft pit,Sub max,3.3648095244319816,1.3267502779999631,3.334854982262116,1.317500353000014,3.0151704822014445,1.214375018999931,3.275577132456461,1.2990002640000284,3.103,1.317
13,7,Semi in Soft pit,Near max,3.4253504939757287,1.3452501289999645,6.5559128353946505,2.088999985999976,3.5786838199077353,1.3909997939999812,3.5464201034818696,1.381499766999923,3.565,1.458
13,8,Semi in Soft pit,Near max,3.9121636006968865,1.4856247899999744,3.744654594026705,1.438874960000021,3.617178777135896,1.4022500509998963,3.5850792419473505,1.3928751939999984,3.564,1.467
13,9,Soft pit,Sub max,4.778309989963352,1.7070000170000412,1.3784265004114022,0.3247499459999972,3.0986167419735198,1.2421247959999846,3.27557561174015,1.2989997859999676,2.994,1.292
13,10,Soft pit,Sub max,3.675938162809122,1.4192500120000204,1.3776584721269685,0.32325029300000097,3.397839081295805,1.3368752000001223,1.4885730151842582,0.4627499579999039,3.324,1.383
13,14,Soft pit,Near max,3.455936878505038,1.3545000550000168,1.3834106770179893,0.334000111000023,3.9030705293419814,1.483124971000052,1.5855528782437052,0.5462503440001001,3.327,1.417
14,2,Competition,Sub max,2.7310960549020553,1.1041250230000088,3.1238879930850274,1.2410001749999964,3.1238879930850274,1.2410001749999964,3.0688454092503195,1.2227501869999884,2.704,1.217
14,3,Competition,Sub max,2.908644842506794,1.1679999830000156,3.2650845730872513,1.2866249080000216,3.2939393906375067,1.2957499020000114,3.2650845730871616,1.2866249079999932,2.919,1.283
14,4,Competition,Near max,3.687705496358342,1.414375065999991,3.3817348882189666,1.3231251240000006,3.501664334021661,1.359625101000006,3.7513578649114265,1.4326250560000062,3.365,1.433
14,5,Competition,Near max,3.501664334021661,1.359625101000006,6.1752921203838795,2.0074999330000196,3.687705496358539,1.4143750660000478,3.8811198218456995,1.4691250330000116,3.526,1.467
14,6,Semi in Soft pit,Sub max,3.297114562846336,1.2967500690000406,3.268237268013004,1.2876250750000509,2.9907475886837434,1.1963748929999838,3.268237264859278,1.2876250739999477,3.024,1.3
14,7,Semi in Soft pit,Sub max,2.8568884765822586,1.1497499949999792,1.3866091003058252,0.237250089999975,2.9086448425066314,1.1679999829999588,3.151716405595651,1.2501249319999488,2.892,1.258
14,8,Semi in Soft pit,Near max,3.687705496358539,1.4143750660000478,1.386712590034292,0.26462507300004745,3.980590060315243,1.4964997760000642,3.78349121722325,1.4417500490000066,3.666,1.475
14,9,Semi in Soft pit,Near max,3.6561865206078363,1.405250072000058,12.494561043168956,3.030499934999966,3.501664334021661,1.359625101000006,3.7194292840178056,1.423500061000027,3.404,1.417
14,10,Soft pit,Sub max,3.4114090366949346,1.3322498799999494,3.322999271483284,1.3048748969999906,3.1797507296095113,1.2592499259999386,3.352264185687047,1.3139998909999804,3.032,1.308
14,11,Soft pit,Sub max,3.352264954873058,1.3140001300000677,10.4222872337452,2.7374999520000074,3.441289709046791,1.341375112000037,3.293940149082959,1.2957501410000987,2.929,1.3
14,12,Soft pit,Near max,4.047928469851653,1.51475000299979,1.386609165930054,0.23724961299990355,4.150469731194567,1.5421249859998625,2.4724762220134053,1.003750084999865,3.72,1.5
14,13,Soft pit,Near max,3.787024878459716,1.4427499769999486,4.150469734973969,1.542124986999852,4.188862255666944,1.552249909000011,4.085639790883018,1.5248749259999386,3.775,1.517
15,1,Competition,Sub max,2.913225834459282,1.1953747260000043,3.190492076084321,1.2866253850000007,2.9670366079824677,1.2136247159999982,3.1904913261611565,1.2866251470000023,2.94,1.283
15,2,Competition,Sub max,3.10515599265348,1.2592496869999934,3.1051567265262197,1.259249925000006,3.190489823164322,1.286624670000009,3.021669357893905,1.2318749429999798,2.777,1.242
15,3,Competition,Near max,2.9670373150900744,1.2136249540000108,4.729791605098852,1.7063751219999972,2.6565020549020173,1.1041250229999946,3.248405271483284,1.3048748969999906,2.943,1.308
15,4,Competition,Near max,3.075974597686862,1.2497498990000508,4.541499877479519,1.6607499119999716,2.6053015399823165,1.0849995620000072,3.1333962168190235,1.2683749199999852,2.715,1.25
15,5,Semi in Soft pit,Sub max,2.8080698870009204,1.1588749879999796,1.325588951202287,0.3102500439999858,3.219345393810883,1.2957499030000008,3.077122402535017,1.250124931000073,2.887,1.267
15,6,Semi in Soft pit,Sub max,3.0771216740134895,1.2501246929999752,3.366695712332498,1.3413751130000264,3.5502783690086304,1.3961250780000682,3.3368158133555443,1.3322501179999335,3.191,1.35
15,7,Semi in Soft pit,Near max,2.942980215090507,1.2055003639999313,4.810768085257712,1.7256250380000893,3.08018516013769,1.2511250979999886,3.2808910712368373,1.3150002959999938,2.981,1.317
15,8,Semi in Soft pit,Near max,3.1904920792351588,1.2866253859999688,5.243271409080108,1.8250000479999926,3.3071408882187825,1.3231251239999438,3.550279186499659,1.3961253169999281,3.269,1.4
15,9,Soft pit,Sub max,3.2776701856874126,1.313999891000094,1.3158052166067378,0.2828750610001407,3.336815036695306,1.332249880000063,1.3929011814609924,0.41062498099995537,3.021,1.275
15,10,Soft pit,Sub max,3.307140116904532,1.3231248859999596,1.3185444547093694,0.2920002939999904,3.277670188904997,1.3139998919998561,1.4720073236974112,0.12774992000004204,2.992,1.283
15,11,Soft pit,Near max,4.322300395135642,1.6059999470001003,4.3583232059560135,1.6151251789999606,2.782294476582578,1.149749995000093,1.377642636833737,0.3923749930002032,2.877,1.292
